    TRACE t | det f0 voiced | gate lastGood bigJump gated | inC noteRef slowC(age) select degree prov | pend(C conf n) gap stable | cur target applied | path nc
     4.515 |  164.9 1 |  164.9 0  164.9 |  -799.1  -710.3  -733.5(176)  -733.5  -700.0 0 | 0(-800.5  0.0 3)    0    0 |  -714.0  -714.0  +85.0 | LEGACY 17
     4.517 |  164.9 1 |  164.9 0  164.9 |  -799.2  -710.3  -734.7(179)  -734.7  -700.0 0 | 0(-800.5  0.0 3)    0    0 |  -709.0  -709.0  +90.2 | LEGACY 17
     4.520 |  164.9 1 |  164.9 0  164.9 |  -799.5  -710.3  -735.9(181)  -735.9  -700.0 0 | 0(-800.5  0.0 3)    0    0 |  -705.8  -705.8  +93.7 | LEGACY 17
     4.523 |  164.9 1 |  164.9 0  164.9 |  -799.5  -710.3  -737.1(184)  -737.1  -700.0 0 | 0(-800.5  0.0 3)    0    0 |  -703.7  -703.7  +95.8 | LEGACY 17
     4.525 |  164.8 1 |  164.8 0  164.8 |  -800.5  -710.3  -738.3(187)  -800.5  -800.0 1 | 1(-800.5  0.0 1)    0    0 |  -738.3  -738.3  +62.3 | LEGACY 17
     4.528 |  164.6 1 |  164.6 0  164.6 |  -801.8  -710.3  -739.5(189)  -801.8  -800.0 1 | 1(-800.5  2.7 2)    0    0 |  -760.4  -760.4  +41.4 | LEGACY 17
     4.531 |  164.6 1 |  164.6 0  164.6 |  -802.5  -710.3  -740.7(192)  -802.5  -800.0 1 | 1(-800.5  5.3 3)    0    0 |  -774.6  -774.6  +27.9 | LEGACY 17
     4.533 |  164.5 1 |  164.5 0  164.5 |  -803.6  -710.3  -741.9(195)  -803.6  -800.0 1 | 1(-800.5  8.0 3)    0    0 |  -783.7  -783.7  +19.9 | LEGACY 17
     4.536 |  164.4 1 |  164.4 0  164.4 |  -803.9  -710.3  -743.1(197)  -803.9  -800.0 1 | 1(-800.5 10.7 3)    0    0 |  -789.6  -789.6  +14.4 | LEGACY 17
     4.539 |  164.1 1 |  164.1 0  164.1 |  -807.4  -710.3  -744.3(200)  -807.4  -800.0 1 | 1(-800.5 13.3 3)    0    0 |  -793.3  -793.3  +14.1 | LEGACY 17
     4.541 |  164.0 1 |  164.0 0  164.0 |  -809.1  -809.1  -809.1(  0)  -809.1  -800.0 0 | 0(-800.5 16.0 3)    0    3 |  -805.8  -805.8   +3.2 | LEGACY 18
     4.544 |  163.6 1 |  163.6 0  163.6 |  -813.1  -809.1  -809.1(  3)  -809.1  -800.0 0 | 0(-800.5  0.0 3)    0    5 |  -803.7  -803.7   +9.4 | LEGACY 18
     4.547 |  163.4 1 |  163.4 0  163.4 |  -814.7  -809.1  -809.2(  5)  -809.2  -800.0 0 | 0(-800.5  0.0 3)    0    8 |  -802.4  -802.4  +12.3 | LEGACY 18
     4.549 |  163.1 1 |  163.1 0  163.1 |  -818.4  -809.1  -809.4(  8)  -809.4  -800.0 0 | 0(-800.5  0.0 3)    0   11 |  -801.5  -801.5  +16.9 | LEGACY 18
